Codage,_id,actionType,creationDate,date,game_id,group_id,grpus_id,help,id,isWon,item_id,item_size,level_id,logType,message,mode_of_use,reason,resourceType,resourceTypeMoU,resource_id,resource_size,resource_title,rightsAgreements,user_id
,6267a0cf98c0f1a79ae3d8cb,showItemCUPBOARD,2011,31/03/2015 09:18:49,63,8,8,,3101,true,412,Intégrale,2,showItemCUPBOARD,,,,sound,sound,313,3 min/,Rolling in,"Droits d'auteur",26
,6267a0cf98c0f1a79ae3d8cc,showItemCUPBOARD,2013,31/03/2015 09:18:53,63,8,8,,3102,true,383,15 s,2,showItemCUPBOARD,,,,sound,sound,303,120 m/,"Chefs d'oe","Droits d'auteur",26
,6267a0cf98c0f1a79ae3d8cd,addToFridge,2013,31/03/2015 09:19:04,63,8,8,,3103,true,383,15 s,2,addToFridge,,digitalMedia,"Sous droits d'auteur",sound,sounddigitalMedia,303,120 m/,"Chefs d'oe","Droits d'auteur",26
,6267a0cf98c0f1a79ae3d8ce,showItemFRIDGE,2013,31/03/2015 09:19:05,63,8,8,,3104,true,383,15 s,2,showItemFRIDGE,,digitalMedia,"Sous droits d'auteur",sound,sounddigitalMedia,303,120 m/,"Chefs d'oe","Droits d'auteur",27
H,6267a0cf98c0f1a79ae3d8cf,chat,,31/03/2015 09:19:12,63,8,8,,3105,true,,,2,chat,je teste avec diffusion numérique,,,,,,/,,,26
O,6267a0cf98c0f1a79ae3d8d0,chat,,31/03/2015 09:19:20,63,8,8,,3106,true,,,2,chat,Très bien.,,,,,,/,,,27
H,6267a0cf98c0f1a79ae3d8d1,chat,,31/03/2015 09:19:22,63,8,8,,3107,true,,,2,chat,surchefs d oeuvres et découverts,,,,,,/,,,26
,6267a0cf98c0f1a79ae3d8d2,feedTamagoBad,2013,31/03/2015 09:19:25,63,8,8,,3108,true,383,15 s,2,feedTamago,,digitalMedia,"Sous droits d'auteur",sound,sounddigitalMedia,303,120 m/,"Chefs d'oe","Droits d'auteur",26
OJ,6267a0cf98c0f1a79ae3d8d3,chat,,31/03/2015 09:19:32,63,8,8,,3109,true,,,2,chat,bon ca lui plait pas,,,,,,/,,,26
,6267a0cf98c0f1a79ae3d8d4,showItemCUPBOARD,2013,31/03/2015 09:19:43,63,8,8,,3110,true,384,35 min,2,showItemCUPBOARD,,,,sound,sound,303,120 m/,"Chefs d'oe","Droits d'auteur",26
OJ,6267a0cf98c0f1a79ae3d8d5,chat,,31/03/2015 09:19:45,63,8,8,,3111,true,,,2,chat,Sans doute une petite erreur mais cela ne me paraît pas grave.,,,,,,/,,,27
,6267a0cf98c0f1a79ae3d8d6,showItemCUPBOARD,2013,31/03/2015 09:19:57,63,8,8,,3112,true,310,9,2,showItemCUPBOARD,,,,book,book,35,"/1 vol., (367 p.)","L'instrume","Droits d'auteur",26
H,6267a0cf98c0f1a79ae3d8d7,chat,,31/03/2015 09:20:00,63,8,8,,3113,true,,,2,chat,Essayons ce qui marche : le Monde...,,,,,,/,,,27
,6267a0cf98c0f1a79ae3d8d8,showItemCUPBOARD,2013,31/03/2015 09:20:10,63,8,8,,3114,true,384,35 min,2,showItemCUPBOARD,,,,sound,sound,303,120 m/,"Chefs d'oe","Droits d'auteur",26
,6267a0cf98c0f1a79ae3d8d9,addToFridge,1944,31/03/2015 09:20:15,63,8,8,,3115,true,559,1 article,2,addToFridge,,photocopy,,journal,journalphotocopy,121,/,Le Monde,"Droits d'auteur CFC",27
,6267a0cf98c0f1a79ae3d8da,feedTamagoGood,1944,31/03/2015 09:20:17,63,8,8,,3116,true,559,1 article,2,feedTamago,,photocopy,,journal,journalphotocopy,121,/,Le Monde,"Droits d'auteur CFC",27
