id;date;actiontype;groupid;user_id;resourcetypemou;help;resource_id
281;2000-01-01 00:28:39;showItemCUPBOARD;20;57;video;;223
282;2000-01-01 00:28:44;showItemCUPBOARD;20;56;book;;43
283;2000-01-01 00:28:58;showItemCUPBOARD;20;57;video;;220
284;2000-01-01 00:28:58;showItemCUPBOARD;20;57;book;;9
285;2000-01-01 00:29:05;addToFridge;20;56;bookintranet;;43
286;2000-01-01 00:29:05;addToFridge;20;57;bookphotocopy;;9
287;2000-01-01 00:29:05;feedTamagoBad;20;55;imageassessments;;403
288;2000-01-01 00:29:07;feedTamagoGood;20;57;bookphotocopy;;9
289;2000-01-01 00:29:14;showItemCUPBOARD;20;55;book;;9
290;2000-01-01 00:29:14;showItemCUPBOARD;20;56;journal;;100
291;2000-01-01 00:29:21;showItemCUPBOARD;20;57;sound;;314
292;2000-01-01 00:29:27;feedTamagoGood;20;56;bookintranet;;43
293;2000-01-01 00:29:33;showItemTAMAGO;20;56;imageintranet;;406
294;2000-01-01 00:29:37;showItemCUPBOARD;20;57;sound;;300
295;2000-01-01 00:29:46;helpLink;20;56;;Accès aide en ligne;
296;2000-01-01 00:29:49;HelpLink;20;56;;Synthèse exception pédagogique - Enregistrements a;
297;2000-01-01 00:29:53;showItemCUPBOARD;20;57;journal;;110
298;2000-01-01 00:30:03;addToFridge;20;55;bookintranet;;9
299;2000-01-01 00:30:14;showItemCUPBOARD;20;57;sound;;315
300;2000-01-01 00:30:18;showItemCUPBOARD;20;56;sound;;333
301;2000-01-01 00:30:19;feedTamagoBad;20;55;bookintranet;;9
302;2000-01-01 00:30:32;showItemCUPBOARD;20;55;video;;211
303;2000-01-01 00:30:33;addToFridge;20;57;soundassessments;;315
304;2000-01-01 00:30:37;feedTamagoGood;20;57;soundassessments;;315
305;2000-01-01 00:30:38;showItemCUPBOARD;20;56;journal;;117
306;2000-01-01 00:30:47;showItemCUPBOARD;20;57;journal;;117
307;2000-01-01 00:30:48;showItemCUPBOARD;20;56;video;;223
308;2000-01-01 00:30:54;showItemCUPBOARD;20;56;image;;403
309;2000-01-01 00:30:57;showItemCUPBOARD;20;57;book;;10
310;2000-01-01 00:31:04;showItemCUPBOARD;20;55;video;;221
311;2000-01-01 00:31:10;showItemCUPBOARD;20;57;image;;403
312;2000-01-01 00:31:12;showItemCUPBOARD;20;56;book;;10
313;2000-01-01 00:31:16;showItemCUPBOARD;20;55;video;;211
314;2000-01-01 00:31:18;showItemCUPBOARD;20;57;sound;;333
315;2000-01-01 00:31:25;showItemCUPBOARD;20;57;book;;34
316;2000-01-01 00:31:27;addToFridge;20;56;bookphotocopy;;10
317;2000-01-01 00:31:28;showItemCUPBOARD;20;55;video;;223
318;2000-01-01 00:31:29;feedTamagoBad;20;56;bookphotocopy;;10
319;2000-01-01 00:31:29;fillCupboard;20;;;;
320;2000-01-01 00:32:00;showItemCUPBOARD;20;57;book;;15
321;2000-01-01 00:32:02;showItemCUPBOARD;20;55;video;;227
322;2000-01-01 00:32:05;showItemCUPBOARD;20;56;book;;4
323;2000-01-01 00:32:12;addToFridge;20;57;bookassessments;;15
324;2000-01-01 00:32:13;feedTamagoGood;20;57;bookassessments;;15
325;2000-01-01 00:32:14;showItemCUPBOARD;20;56;printedmusic;;526
326;2000-01-01 00:32:17;showItemCUPBOARD;20;57;book;;9
327;2000-01-01 00:32:24;addToFridge;20;57;bookphotocopy;;9
328;2000-01-01 00:32:26;addToFridge;20;56;printedmusicphotocopy;;526
329;2000-01-01 00:32:26;feedTamagoGood;20;57;bookphotocopy;;9
330;2000-01-01 00:32:28;feedTamagoGood;20;56;printedmusicphotocopy;;526
331;2000-01-01 00:32:32;showItemCUPBOARD;20;56;printedmusic;;526
332;2000-01-01 00:32:32;showItemCUPBOARD;20;57;journal;;100
333;2000-01-01 00:32:35;showItemCUPBOARD;20;56;printedmusic;;500
334;2000-01-01 00:32:37;showItemCUPBOARD;20;57;journal;;113
335;2000-01-01 00:32:37;showItemCUPBOARD;20;55;book;;15
336;2000-01-01 00:32:40;showItemCUPBOARD;20;57;journal;;129
337;2000-01-01 00:32:41;showItemCUPBOARD;20;56;printedmusic;;500
338;2000-01-01 00:32:49;addToFridge;20;56;printedmusicassessments;;500
339;2000-01-01 00:32:50;feedTamagoBad;20;56;printedmusicassessments;;500
340;2000-01-01 00:32:51;addToFridge;20;57;journalphotocopy;;129
341;2000-01-01 00:32:53;feedTamagoGood;20;57;journalphotocopy;;129
342;2000-01-01 00:32:57;showItemCUPBOARD;20;57;image;;403
343;2000-01-01 00:32:58;showItemCUPBOARD;20;56;book;;42
344;2000-01-01 00:33:02;showItemCUPBOARD;20;57;journal;;113
345;2000-01-01 00:33:03;addToFridge;20;55;bookprintedCopies;;15
346;2000-01-01 00:33:06;showItemCUPBOARD;20;57;journal;;129
347;2000-01-01 00:33:06;feedTamagoGood;20;55;bookprintedCopies;;15
348;2000-01-01 00:33:07;fillCupboard;20;;;;
349;2000-01-01 00:33:18;showItemCUPBOARD;20;55;book;;7
350;2000-01-01 00:33:21;showItemCUPBOARD;20;56;printedmusic;;516
351;2000-01-01 00:33:23;showItemCUPBOARD;20;57;book;;7
352;2000-01-01 00:33:29;showItemCUPBOARD;20;55;video;;211
353;2000-01-01 00:33:30;addToFridge;20;56;printedmusicphotocopy;;516
